alpha,beta,gamma,delta,fitness
0.08518936186870156,0.7438869134586433,0.020429745751266753,0.15049397892138822,0.6626759945991211
0.10124530407930217,0.5120541640248725,0.18734336471420587,0.19935716718161953,0.5985534164225963
0.2635794211598847,0.3760521705071737,0.03961789523726582,0.3207505130956757,0.44366379625505165
0.2398900590346016,0.18235723452303734,0.17190915163813814,0.405843554804223,0.3547632208890581
0.5605064414669422,0.2087425166663649,0.20739372333139836,0.023357318535294457,0.9336526446971035
0.12208557902580126,0.44672713553297533,0.09028694243424602,0.3409003430069775,0.3993040583829388
0.0737209293539801,0.40935739105995594,0.2198316449446065,0.2970900346414575,0.4520256002728248
0.21642160129603785,0.1792422343962249,0.3313668041816691,0.2729693601260681,0.563659624651464
0.3812174712394444,0.3702531631599786,0.23631883228475992,0.012210533315816995,0.9076335673942787
0.006522784065494212,0.14672526306065653,0.30509673863979697,0.5416552142340522,0.15817212603679032
0.11897537795356096,0.17885839888524405,0.33513696230875945,0.3670292608524356,0.4226273488885601
0.2149250020044878,0.23462704118131383,0.4315438137682172,0.11890414304598124,0.7864497292538312
0.06708133582875746,0.31957049325003245,0.41802102655208595,0.19532714436912418,0.6590737094588089
0.3583084160428189,0.29495933603181856,0.2930903885361714,0.053641859389191256,0.8605453437098496
0.19869101291529442,0.32518817438379066,0.14690547138692403,0.32921534131399094,0.457398761871445
0.32793544093101434,0.05246495862536447,0.1891153574742531,0.4304842429693681,0.3411573958896068
0.287398390514054,0.07224660902966831,0.30041397394055697,0.33994102651572083,0.4792514688719687
0.20454140018949388,0.32905344445514195,0.20444838509460134,0.26195677026076286,0.5412541557178274
0.0745212623897046,0.7955616639905763,0.07313794370359158,0.0567791299161276,0.7954970555272223
0.3586418131388556,0.24944507675188332,0.25887760653888714,0.13303550357037394,0.7505577292940625
0.2849314576840923,0.4244849901144284,0.24838485359190718,0.04219869860957213,0.8305807045570348
0.3283845405440909,0.3777771407125659,0.27936942161349126,0.014468897129851888,0.9216300831983372
0.2288229506445953,0.3890363610334537,0.2840433088259048,0.09809737949604637,0.7750466585492398
0.06631152951333036,0.39990689858201883,0.31561034557500883,0.21817122632964187,0.6127571257182343
0.14199051665486023,0.030767817788236732,0.381936951290362,0.44530471426654095,0.32588936504254107
0.3617509484189257,0.22475144090503826,0.3704596304092249,0.04303798026681124,0.8792551693735237
0.055921354774763544,0.1483861607584465,0.4974709340776799,0.29822155038910997,0.530409750302568
0.2868114067195677,0.5226982093685946,0.015314956847480212,0.1751754270643576,0.6326972175297447
0.37993561971365947,0.1265649979635309,0.0647374073486715,0.4287619749741381,0.33154403794608667
0.12449697982060479,0.10780802054978131,0.37381025278237573,0.3938847468472381,0.3822208745916974
0.09963014508820803,0.16093211476596436,0.4784778740343393,0.26095986611148836,0.5763737778795746
0.05742155437578425,0.13290791100922988,0.3643462971595783,0.44532423745540756,0.29878666606458115
0.28296492531615064,0.18633958714308577,0.20010260510496847,0.33059288243579515,0.4668427589176901
0.09889549761990801,0.3261273744916127,0.29971727519888375,0.2752598526895955,0.5381911147918648
0.13913182694046228,0.26877439741063036,0.17383782776405723,0.41825594788485004,0.3322999185611303
0.18615009943220379,0.35352793432496915,0.2381971462974263,0.2221248199454008,0.5961071832169049
0.39016753915838526,0.07440137360904986,0.2132644718542495,0.3221666153783153,0.501869802210717
0.09741189158747984,0.16838577174158298,0.6731770886410235,0.06102524802991362,0.8663656850197338
0.08783786186719514,0.14416836678240388,0.32104796808516645,0.4469458032652346,0.30074762174566744
0.24149087099552763,0.34651300999792817,0.10810755224611913,0.303888566760425,0.47486454785977683
0.30925040899536915,0.271660437023537,0.2311271838658193,0.18796197011527457,0.6637249574223808
0.3385846642273818,0.28468277827722277,0.2630151573211692,0.11371740017422613,0.7582532051693551
0.34832234565732323,0.35306227633991955,0.10695264775232623,0.19166273025043104,0.6418934493563697
0.3216834058275285,0.4148724669776032,0.003772560967558451,0.2596715662273097,0.5482617806123948
0.16508625659014992,0.42603491512091785,0.1902422907983841,0.21863653749054812,0.6081399564960401
0.35031934639135015,0.16413419345392538,0.41428184860769035,0.07126461154703408,0.8602762439886638
0.2418784635542838,0.16341029584552466,0.47562195205343505,0.11908928854675659,0.7886840080107603
0.5131793653094638,0.215618058018694,0.20949167450420578,0.06171090216763645,0.8750909380457412
0.22927474739666912,0.37270299243779026,0.033998424710119254,0.36402383545542133,0.37942364832930997
0.004206671483787847,0.5113546255904088,0.06968603978244799,0.41475266314335524,0.27560008016688525
0.5213250448855319,0.1315331175173337,0.2145559754090289,0.13258586218810553,0.774814583214375
0.25719297866198443,0.20598105165012875,0.2667708645701753,0.2700551051177114,0.5537211319934071
0.23800267135327485,0.2063953190057027,0.29972904254109994,0.2558729670999226,0.5852312514992608
0.19916489534077605,0.26882412144181267,0.4824296822020498,0.04958130101536143,0.8718632241885953
0.34040955053664357,0.12677675852181824,0.3443627957159906,0.18845089522554745,0.6983071433834059
0.2623555993496964,0.13556754130117152,0.28924342452871743,0.31283343482041465,0.5036363395091437
0.304081490794678,0.10829313939448297,0.1656973214518356,0.4219280483590033,0.3454492995825983
0.4485314171341512,0.054204127569309465,0.3097261800647832,0.1875382752317562,0.7078517616385038
0.26771079163207506,0.14649240260770005,0.33771927164229615,0.24807753411792874,0.5985852183015669
0.1412894773826616,0.4531102119851845,0.09222009002164999,0.31338022061050397,0.4619631372864664
0.3819933744557446,0.10015545879617836,0.41297146149377056,0.10487970525430636,0.8176415774194957
0.05670469546119798,0.22242329826820698,0.4601335910248111,0.260738415245784,0.5755288823910931
0.360731876665736,0.25632658726722807,0.20345417337903388,0.1794873626880022,0.6795036385145512
0.5239904561658577,0.03845465924153223,0.06950620245564587,0.36804868213696423,0.4421587779083239
0.34192205560306216,0.06308075243241412,0.36730834746732893,0.2276888444971948,0.6458505827677251
0.33606102900903884,0.47434543770011656,0.17340743257311214,0.016186100717732518,0.8808517613833781
0.02103099403892206,0.3943504999595827,0.21724153461783619,0.3673769713836591,0.389781967930574
0.21386390932244798,0.007365366058759392,0.3547224102644895,0.4240483143543032,0.36282272355973133
0.4405276160519273,0.07725770985512685,0.2785145306435445,0.20370014344940132,0.682861128347629
0.38053021195654624,0.31545197878947956,0.26004195566919935,0.043975853584774925,0.8551732249254678
0.18585415417899845,0.3700711682912556,0.22256430417679443,0.2215103733529515,0.6122237647268843
0.20562346922986857,0.29437692530436915,0.25877694587406436,0.2412226595916978,0.5792906255515794
0.30293276640601546,0.23327009781350075,0.3147266476226288,0.14907048815785492,0.7297402482005174
0.5404023419853002,0.0006399277138309508,0.028412740243269338,0.43054499005759955,0.3540545293708346
0.30881269600579925,0.15883150941630053,0.07589063786050226,0.45646515671739785,0.2835359630406431
0.2521637198387389,0.23414689642796901,0.2552000288315394,0.2584893549017526,0.5537292435403788
0.173053128708481,0.5021367922549029,0.1613934779875006,0.16341660104911548,0.6795545795880913
0.11400634346151027,0.4087286831121909,0.301641746356184,0.1756232270701148,0.6548194227723897
0.11910035234648704,0.2584110484499418,0.3302479436362079,0.2922406555673633,0.5228773593814638
0.11964362154698371,0.11963424871800109,0.5624756653287647,0.19824646440625057,0.678703453647024
0.26149310288464644,0.37096622316685685,0.2578029332769627,0.10973774067153402,0.7797484555176705
0.21919775539511366,0.43893666670315135,0.018243844380408245,0.3236217335213268,0.42678006637737964
0.19214743210361884,0.06888845030034356,0.5245836325750123,0.21438048502102522,0.6680960049234106
0.5954640164602557,0.2002068688621684,0.14593180782188092,0.05839730685569495,0.8823730093871323
0.18669007390761586,0.17601943426513658,0.32278785178484043,0.3145026400424071,0.5018431247966189
0.3785910143720738,0.22839203934044264,0.2528651453744846,0.14015180091299892,0.7440938907624131
0.027744627290677257,0.5253821863358569,0.3331125617766754,0.11376062459679055,0.7242826258376429
0.5202710746856158,0.20208043691133779,0.13820669515196962,0.1394417932510768,0.7504212227411173
0.2811813563853785,0.2682219573519999,0.2552724508181739,0.19532423544444777,0.6533692553629284
0.16799669850199764,0.21631109064659151,0.0963150608549542,0.5193771499964567,0.1776720568759967
0.0032230657800315448,0.31797575064770345,0.33462067533355305,0.3441805082387119,0.4360328750447765
0.02242725126847021,0.17723499077483737,0.36588578001752686,0.43445197793916557,0.3128750349362842
0.2999226492376111,0.35743661868530785,0.1018253211663816,0.2408154109106995,0.5494177289626238
0.20207124785627262,0.35672156482608025,0.2957824990935607,0.14542468822408638,0.7105186546986544
0.3879191503798962,0.2642082678384194,0.11436966372685319,0.2335029180548313,0.5969039693500693
0.27539827687617585,0.16353465835761075,0.32536106164571116,0.23570600312050227,0.6137340636477245
0.3564449927465346,0.2011639179737067,0.0869278558785867,0.3554632334011719,0.42657236630350065
0.1258793600205561,0.3221079163366973,0.1685108615335182,0.3835018621092284,0.3764310193856528
0.11500515257743998,0.33692780841102976,0.15703583612835456,0.3910312028831757,0.32922124357247895
0.26061771810026085,0.4197082321594514,0.17454364498899902,0.14513040475128886,0.6983627464411766
0.1777302386965517,0.40560435334686895,0.018986877568979228,0.3976785303876001,0.3426415514165695
0.18269878820268287,0.3722773920940674,0.08273840029578736,0.36228541940746223,0.4007302620746964
0.23652655031100944,0.23968135862735573,0.29974439701310845,0.22404769404852637,0.6159921872017393
0.384297041399393,0.3260835504919739,0.2536377544605928,0.03598165364804033,0.8971149869541434
0.24695191605472183,0.24655955654531408,0.1541807180842589,0.35230780931570527,0.43455435254464503
0.2651070373647919,0.2935262871009958,0.16330881292001242,0.2780578626142,0.5388842630135507
0.2909781204475852,0.28307720306703105,0.08680727919173015,0.3391373972936536,0.42052460329276187
0.3278776504173388,0.03436694839842625,0.40347606773805494,0.23427933344618,0.6434259575709661
0.08603628307480367,0.5508426595450018,0.3607159822682854,0.0024050751119090953,0.913765988400386
0.12932373771738706,0.2987041885541,0.3832998975896724,0.18867217613884046,0.6423156886532142
0.09313162924923223,0.43132258185952743,0.2700102430494884,0.2055355458417519,0.6054321648654667
0.194754718409458,0.37622479506143913,0.07685235801439141,0.35216812851471146,0.396502848215645
0.39861565910609287,0.2285896724882361,0.02179535410506999,0.3509993143006011,0.41635361042703933
0.18860137019096898,0.33795711058603445,0.20528775152474055,0.26815376769825594,0.5301779263354092
0.05334904021994083,0.22699358789010388,0.4048024904559714,0.31485488143398394,0.49366863966550856
0.046273916515518834,0.2763069176777255,0.5997745957326881,0.0776445700740675,0.8282717613533536
0.011902097380332812,0.19488568401122058,0.280358099959464,0.5128541186489826,0.18199740102372097
0.2880090621761677,0.28116006311721836,0.38371947016155544,0.04711140454505849,0.8871588837148294
0.32036042184319385,0.22842527780094463,0.4069291314177322,0.044285168938129296,0.887887191032617
0.05211309027625926,0.47217095242697904,0.0449008353220423,0.4308151219747194,0.23573457893117616
0.3545065498318815,0.2639528731777956,0.36421488194002927,0.017325695050293535,0.9344185264478903
0.04355885752360817,0.37435019429547906,0.444785250606167,0.13730569757474578,0.7191714147787855
0.2876321746743809,0.1906723982966666,0.316465813939479,0.20522961308947366,0.6635547206212896
0.16999113710076946,0.07662147436623702,0.43970599570141855,0.3136813928315751,0.5103225421610782
0.383276329507622,0.1003568277485215,0.07474187887107615,0.44162496387278033,0.31749118864112524
0.41089546628718776,0.2322926329931885,0.0989874348528414,0.2578244658667825,0.5784194062508482
0.35272578977721547,0.26522043964105124,0.31409857202872543,0.06795519855300781,0.8450231142422779
0.25717919893558744,0.3913523778831828,0.22544707985734574,0.12602134332388404,0.7522651283316966
0.110716042985088,0.23498556613247842,0.4386294558356872,0.21566893504674642,0.6412487625100086
0.004555438058075572,0.3900509309896354,0.25931204891235443,0.34608158203993455,0.38336489419268927
0.3921751138750256,0.30228917557344903,0.24773532761854256,0.05780038293298282,0.8528415904858361
0.0972836417511113,0.06339832769875285,0.42681534569054647,0.4125026848595895,0.3685663071708653
0.2563125484925924,0.2577141245456216,0.22717767716664658,0.2587956497951394,0.5731494066254477
0.4404684393161699,0.03340405360311992,0.2496536766005931,0.27647383048011714,0.5786084435592004
0.3795166824498826,0.2818648248251355,0.11315623278807635,0.22546225993690566,0.6054336451296145
0.2245785620314223,0.010725390557061565,0.3663133313815319,0.3983827160299842,0.4008171173714644
0.3170805431503385,0.1930178091380907,0.02915268484025319,0.4607489628713175,0.2702729938654056
0.2508348390385811,0.17977559418285627,0.1805323020332956,0.3888572647452671,0.389747763754671
0.14276192250716965,0.3098003802201477,0.25468433371717364,0.29275336355550885,0.49890987862270697
0.034458824595640654,0.08292575580333925,0.47452772557176076,0.4080876940292593,0.37128330779544316
0.2815719627939786,0.326929207282707,0.27606053181149925,0.11543829811181519,0.7614567113757359
0.5100402660736197,0.033723628862282785,0.25451632640652244,0.2017197786575751,0.6906756062411809
0.1805052437318275,0.33050004095420227,0.42078236691776677,0.0682123483962036,0.8481064712625644
0.33187390691776847,0.09537358802231709,0.2383653684156634,0.334387136644251,0.47934457742916003
0.05229935912419692,0.19911302767151273,0.49002501091788686,0.25856260228640365,0.5822891424196678
0.12412311544412784,0.28742963044092895,0.32849335516739925,0.25995389894754395,0.5669547070125447
0.3017459548505009,0.26948153015175524,0.4065533427042002,0.022219172293543563,0.9262490120369212
0.3031147963905652,0.17317248352444256,0.4414210067353675,0.0822917133496247,0.8332693090944523
0.3411596718189812,0.28873363361751864,0.09657410872114716,0.273532585842353,0.5175177128320908
0.14492960332065205,0.23742284791705145,0.37558930654045186,0.24205824222184472,0.5894280670838228
0.28336684597332035,0.1099749472166757,0.3366924964519891,0.2699657103580149,0.5730564450196426
0.500754284709347,0.0616773504224345,0.04787253387881543,0.389695830989403,0.40312078343140856
0.42270401861567686,0.20048415872465977,0.3029064156508654,0.07390540700879811,0.859069265678104
0.427521329033478,0.15993056804768468,0.20856350236162272,0.20398460055721454,0.6700335139570254
0.27068007734073574,0.35884105390279203,0.27407630073679584,0.09640256801967634,0.7656858844947875
0.33028228443925745,0.04175606176502293,0.5180894016777514,0.10987225211796815,0.8289282125582943
0.30840911894770917,0.02681852921650414,0.49635628778409624,0.16841606405169046,0.7406712716183382
0.3991691086929629,0.2156496773089539,0.2382431092583121,0.14693810473977106,0.7472453912940002
0.009172780330336734,0.3977352571938297,0.2869093311258764,0.30618263134995716,0.4611790015362983
0.2084816862159718,0.25489245349258166,0.26118601103139016,0.2754398492600565,0.5486063580860281
0.2961217583979975,0.40968110840148386,0.24303222294838325,0.051164910252135466,0.8618004683615743
0.16629439717957917,0.2859724749496862,0.22937220240420214,0.31836092546653244,0.46526411681026403
0.09409680959775259,0.4310184419510733,0.3164833643085934,0.15840138414258068,0.6761942353959144
0.1427081036456345,0.5731183926468939,0.05720781443381994,0.22696568927365163,0.5162718679277991
0.1742039843183001,0.40334491352115126,0.19862320478559373,0.2238278973749549,0.603756416909395
0.41842478190062327,0.4077212060915821,0.024576666934623608,0.149277345073171,0.6945397411719271
0.2513200430584353,0.15644262060793218,0.13294755449788465,0.4592897818357478,0.2797768031247918
0.38039624268225747,0.19284502912457355,0.15651446900883148,0.2702442591843375,0.556064605398579
0.3751768994407162,0.038112036104822576,0.33925068624146965,0.24746037821299163,0.6211870254595481
0.14218996500230568,0.21255002217369515,0.3729439571039071,0.27231605572009193,0.5596434130938077
0.05992801317835714,0.4049444714077332,0.2246874598300008,0.3104400555839088,0.45335102234259017
0.13192224390439825,0.5094521938718288,0.299059459625737,0.05956610259803601,0.8087604073285802
0.3082065874330562,0.33527855605250034,0.33875423899704377,0.017760617517399678,0.9230672903160254
0.2203550958643085,0.19903406055471448,0.5214421594772127,0.05916868410376448,0.8614884587056748
0.2301680954254294,0.2600653717958802,0.2588819487269896,0.25088458405170083,0.5846633181530667
0.3922657979436172,0.0333243689818168,0.25689221740444956,0.31751761567011644,0.5187249211475528
0.4833972993418835,0.1776748582158033,0.30582457874147073,0.033103263700842656,0.9236938757163657
0.17865969331361722,0.31640540237189035,0.2861026624331149,0.21883224188137743,0.5926502865849611
0.6087556460667608,0.0329262665853193,0.08207215901934302,0.2762459283285769,0.5790458541900708
0.2825410469410903,0.3489511878692925,0.0816758539325725,0.28683191125704455,0.49996189554057446
0.34750270219354074,0.15289869473750312,0.16780321588068942,0.33179538718826684,0.4717271802700993
0.3701136631848674,0.24844296012747938,0.36877370542889065,0.012669671258762595,0.9437290490927341
0.19331561941020184,0.18969366546958022,0.001124445913164323,0.6158662692070536,0.04774654636898257
0.3310295536509134,0.1518092821722153,0.09736865624467977,0.4197925079321915,0.3475398457758804
0.11167137443569455,0.41653325737399743,0.1496666875890122,0.32212868060129574,0.43350032762325685
0.005051973078666218,0.4001452520605657,0.21954557703095326,0.3752571978298149,0.35708515284316467
0.22104434161257683,0.31334701761088785,0.14312497745794647,0.32248366331858885,0.43793775061939477
0.2528978856595526,0.11865089281077076,0.14448361752236885,0.48396760400730776,0.25625096006742276
0.044813693874154785,0.20501390140325298,0.27882993298189956,0.4713424717406927,0.2519835121083104
0.1336226341717146,0.2230574339174847,0.2341676704010181,0.4091522615097827,0.3528129926477034
0.13629028127553075,0.0811954437564146,0.34094317058474877,0.4415711043833058,0.325464026861579
0.22612308562301112,0.31909394120793494,0.02221539178590662,0.43256758138314744,0.3032845367440887
0.28697665919159754,0.13324305287576413,0.49161820784526056,0.08816208008737773,0.8477704219375688
0.2491865009288134,0.046557027523838446,0.4324726131633438,0.2717838583840044,0.5806849555430338
0.2748381914274639,0.5718657711761675,0.14174191152859594,0.011554125867772741,0.8682956569631075
0.29490375345549286,0.285665753228497,0.20288087028163088,0.2165496230343792,0.6180424148027317
0.12148047341218665,0.2955817135072794,0.16785020751632096,0.41508760556421304,0.3182522489522247
0.350525366994079,0.36500933592443785,0.16411211340267598,0.12035318367880722,0.7647188240931235
0.1278784435513019,0.3405402870647721,0.2776660932686037,0.25391517611532227,0.5680461927673007
0.20975144428230796,0.2879640558466692,0.2907914857287246,0.2114930141422983,0.6395658704095522
0.24391791748369687,0.09465126959469336,0.32788515673271845,0.3335456561888913,0.48075126179772437
0.3928445323019174,0.3634478338539819,0.21138615402430794,0.032321479819792644,0.8788282134995146
0.3995852312926131,0.20353791705920793,0.2552182220455786,0.1416586296026004,0.7569813680372182
0.11323985700070766,0.7991723707099181,0.051917436881213,0.035670335408161266,0.8266186412812704
0.01312144972971314,0.21893089843577174,0.486008229953499,0.28193942188101606,0.54425123241311
0.3451385163495584,0.3167759746781347,0.2007375656325236,0.1373479433397833,0.730622890054698
0.18101029067954344,0.3744891270565134,0.16066744964371246,0.28383313262023074,0.49935247565835117
0.22744587093726906,0.5119618948339262,0.22565795491335366,0.03493427931545093,0.8708042968017344
0.2982345361349711,0.25346478768861563,0.06614614630458125,0.382154529871832,0.3760752476545288
0.28775983549634887,0.055690479764785375,0.29943351953318514,0.3571161652056806,0.4559721802267612
0.3368273166353109,0.023501028325445567,0.3053713541401541,0.3343003008990894,0.4938493429862767
0.2545452181357546,0.2879612791989061,0.34774774973753036,0.10974575292780896,0.7921871787284506
0.12007873287456071,0.21881790570247855,0.31773780578157773,0.343365555641383,0.4521289806825537
0.3830309885925309,0.013340412301215031,0.3303823672097762,0.2732462318964779,0.5881295903101009
0.287728936752347,0.28232336268128094,0.41088779508778295,0.019059905478589077,0.9149454692458602
0.37594597472308755,0.3833483110893205,0.15211299380463297,0.08859272038295884,0.8096086727621635
0.36836345110645036,0.015235805089360493,0.324016341321747,0.29238440248244224,0.5583762352584647
0.11782691957909501,0.42131941263869965,0.27073935510561387,0.19011431267659146,0.6516306190893079
0.2458094151212877,0.16622812178425037,0.14438517448735938,0.44357728860710244,0.2930770366432836
0.2158475723496659,0.41727188475888843,0.1558770263628948,0.2110035165285509,0.600040348255396
0.4822046447582629,0.06594799093468377,0.003090236205128213,0.4487571281019251,0.3136747096601755
0.1482155710710936,0.03916736114488458,0.4734734618605783,0.3391436059234436,0.48540948694310193
0.02528843285234457,0.2705537930206239,0.3508571347850274,0.3533006393420043,0.41593828238286895
0.2802079839721223,0.3134908555540832,0.07473951498422561,0.3315616454895688,0.43995936065483016
0.27362876825002863,0.3917859108748814,0.018329016832869666,0.31625630404222027,0.42766906621794926
0.3855966327530559,0.02540485747907952,0.22657897051571102,0.3624195392521536,0.4525599624999077
0.04464332605075367,0.5735482515044296,0.011008143157970263,0.3708002792868466,0.3290899307688444
0.2799342962820152,0.20580426694014647,0.27304291999049585,0.2412185167873425,0.5970113714309571
0.4523970469582382,0.16149419105675897,0.12656499830727544,0.2595437636777274,0.5703108067192192
0.29806346353814733,0.22951413547000377,0.0904759525202038,0.38194644847164505,0.39265320697203177
0.41601804029401435,0.5371906398651097,0.03131455751523831,0.015476762325637699,0.896206260531777
0.3692471027657223,0.03268804648370031,0.09154385663793427,0.5065209941126431,0.23531530185848032
0.392109216431455,0.19952745597066393,0.188068627165133,0.2202947004327481,0.6296524581567452
0.11260549331378417,0.17172521056009316,0.1329059904216803,0.5827633057044423,0.08292373880331316
0.12165791823656244,0.6053649093568219,0.06075898455726362,0.2122181878493523,0.5908679818224485
0.1947701021653056,0.06620016271464477,0.3404166043294699,0.39861313079057986,0.3921502794069336
0.027580184073386402,0.106837031246119,0.22629905864177352,0.6392837260387211,0.02504885625500053
0.09832181287221715,0.14833494664285268,0.37396455583255084,0.37937868465237934,0.4012649836928605
0.38001710092773605,0.26159149052644415,0.24156755277748312,0.11682385576833669,0.7724459182422061
0.4152652718167676,0.10591129335655426,0.263897224854182,0.21492620997249626,0.6564284263699448
0.10327383490632029,0.1439758332591035,0.3325975720066441,0.42015275982793215,0.3481744852692362
0.13460625851454516,0.019041734893962974,0.3862525561244311,0.46009945046706074,0.30699456406531433
0.39498301690826176,0.3042791369512471,0.14783822826960466,0.15289961787088643,0.709794745803421
0.20351947237552573,0.387680793235607,0.1153635250439087,0.2934362093449587,0.501693566997221
0.4729183130142851,0.007457877437767822,0.057745173007805496,0.4618786365401417,0.30606336357412234
0.24228207907026322,0.24329020408127458,0.2642965996721155,0.2501311171763468,0.5639807732151613
0.2183535230071306,0.3267444874066489,0.09043641923416605,0.36446557035205457,0.40428997136092093
0.02347199346062297,0.01579506022837896,0.3433702789422841,0.617362667368714,0.07158673991267217
0.05787550719657367,0.13327182615516905,0.589880157535282,0.2189725091129753,0.6448868710995033
0.5327219530776106,0.014715314012880896,0.015755901921825716,0.43680683098768275,0.3425824564165437
0.29735084123400923,0.12621551427208388,0.3651237438294911,0.21130990066441585,0.6577920461489595
0.11829226242328889,0.028015298700931522,0.38620010746062067,0.467492331415159,0.2945592080721218
0.09237782270104819,0.5468365660914073,0.022018429176219392,0.33876718203132505,0.382481913734731
0.04038994523243286,0.34518210819732814,0.21009012132829433,0.40433782524194456,0.32445684049761747
0.41234225590913964,0.13779035472331558,0.2892342783798828,0.16063311098766186,0.731492262573844
0.21002757789925805,0.1379164338954256,0.2548430363948606,0.3972129518104557,0.3765972855052313
0.11066618581891577,0.567134973629941,0.20892168417073828,0.11327715638040496,0.7450140193849015
0.3306164529390188,0.28788792785823986,0.29208460218783566,0.08941101701490567,0.8083058889059935
0.2624294965081787,0.3739871047206562,0.051637688716802556,0.3119457100543625,0.4385846587382921
0.35209438306817276,0.1966993533260036,0.10804071737755065,0.34316554622827294,0.45574677765869
